rarity	form-count	obtain	involve	max-base-level	max-plus-level	egg-1	egg-2	true-form	ultra-form	talents	version	orb-count	xp-curve	involve-description	ultra-involve-description	level-curve	obtain-stage	trueform-stage	fandom-name
0	3	遊戲開始時最初始的貓咪	合計Lv30可進化（Lv. 10 + 20）	20	90								200|400|700|1100|1600|2200|2900|3700|4600|5600			0			Cat_(Normal_Cat)
0	3	世界篇第1章「台灣」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								400|700|1600|2800|4300|6100|8200|10600|13300|16300			0			Tank_Cat_(Normal_Cat)
0	3	世界篇第1章「泰國」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								600|900|1800|3000|4500|6300|8400|10800|13500|16500			0			Axe_Cat_(Normal_Cat)
0	3	世界篇第1章「韓國」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								700|1300|2200|3400|4900|6700|8800|11200|13900|16900			0			Gross_Cat_(Normal_Cat)
0	3	世界篇第1章「新加坡」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								800|1500|2400|3600|5100|6900|9000|11400|14100|17100			0			Cow_Cat_(Normal_Cat)
0	3	世界篇第1章「尼泊爾」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								900|2000|3200|4800|6800|9200|12000|15200|18800|22800			0			Bird_Cat_(Normal_Cat)
0	3	世界篇第1章「馬達加斯加」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								1300|2500|4000|6000|8500|11500|15000|19000|23500|28500			0			Fish_Cat_(Normal_Cat)
0	3	世界篇第1章「埃及」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								1800|3000|4800|7200|10200|13800|18000|22800|28200|34200			0			Lizard_Cat_(Normal_Cat)
0	3	世界篇第1章「義大利」過關後開放	合計Lv30可進化（Lv. 10 + 20）	20	90								2000|3500|6200|9800|14300|19700|26000|33200|41300|50300			0			Titan_Cat_(Normal_Cat)
1	3	世界篇第2章「日本」過關後可以用150個貓罐頭購入	於開眼活動關卡「開眼女優貓來襲！」取得後Lv20可進化	50	0					0|10|10|67|67|5|50|0|0|0|0|10|4|-1|0|55|1|0|0|0|0|0|0|0|0|67|6|-1|0|20|10|16|70|0|0|0|0|0|0|20|5|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	800|1600|3100|5100|7600|10600|14100|18100|22600|27600			0		1|45|1|開眼女優貓來襲！ - 女優貓進化之路 超級難	Actress_Cat_(Special_Cat)
1	3	世界篇第1章「牙買加」過關後可以用240個貓罐頭購入	於開眼活動關卡「開眼功夫貓來襲！」取得後Lv20可進化	50	0					0|56|10|2|20|1|1|1920|1920|1080|1080|68|4|-1|0|45|1|0|0|0|0|0|0|0|0|54|6|-1|0|48|1|0|0|0|0|0|0|0|0|57|6|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	500|1500|5100|9900|15900|23100|31500|41100|51900|63900			0		1|46|1|開眼功夫貓來襲！ - 功夫貓進化之路 超級難	Kung_Fu_Cat_(Special_Cat)
1	3	世界篇第2章「印度」過關後可以用160個貓罐頭購入	於開眼活動關卡「開眼Mr.來襲！」取得後Lv20可進化	50	0					64|8|10|3|30|0|0|0|0|0|0|73|13|304|0|45|1|0|0|0|0|0|0|0|0|54|6|-1|0|49|1|0|0|0|0|0|0|0|0|58|6|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	900|1500|3900|7100|11100|15900|21500|27900|35100|43100			0		1|47|1|開眼Mr.來襲！ - Mr.進化之路 超級難	Mr._(Special_Cat)
1	3	世界篇第1章「丹麥」過關後可以用150個貓罐頭購入	於開眼活動關卡「開眼緊缚貓來襲！」取得後Lv20可進化	50	0					0|2|10|30|30|15|60|0|0|0|0|2|4|-1|0|51|10|40|40|12|30|0|0|0|0|60|4|-1|0|46|1|0|0|0|0|0|0|0|0|55|6|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	300|700|2200|4200|6700|9700|13200|17200|21700|26700			0		1|48|1|開眼緊縛貓來襲！ - 緊縛貓進化之路 超級難	Bondage_Cat_(Special_Cat)
1	3	世界篇第1章「格陵蘭島」過關後可以用150個貓罐頭購入	於開眼活動關卡「開眼女王貓來襲！」取得後Lv20可進化	50	0					0|17|10|5|15|6|6|0|0|0|0|17|4|-1|0|44|1|0|0|0|0|0|0|0|0|53|6|-1|0|25|10|20|200|0|0|0|0|0|0|31|5|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	300|700|2500|4900|7900|11500|15700|20500|25900|31900			0		1|49|1|開眼女王貓來襲！ - 女王貓進化之路 超級難	Dom_Cat_(Special_Cat)
1	3	世界篇第1章「埃及」過關後可以用90個貓罐頭購入	於開眼活動關卡「開眼箱貓來襲！」取得後Lv20可進化	50	0					0|7|1|0|0|0|0|0|0|0|0|7|6|-1|0|44|1|0|0|0|0|0|0|0|0|53|6|-1|0|20|10|16|70|0|0|0|0|0|0|20|5|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	2500|3000|3900|5100|6600|8400|10500|12900|15600|18600			0		1|50|1|開眼箱貓來襲！ - 箱貓進化之路 超級難	Cats_in_a_Box_(Special_Cat)
1	3	世界篇第2章「百慕達」過關後可以用90個貓罐頭購入	於開眼活動關卡「開眼三角褲貓來襲！」取得後Lv20可進化	50	0					8|3|10|30|30|39|120|0|0|0|0|72|13|303|0|44|1|0|0|0|0|0|0|0|0|53|6|-1|0|19|10|16|70|0|0|0|0|0|0|19|5|-1|0|32|10|8|80|0|0|0|0|0|0|27|5|-1|0|31|10|8|80|0|0|0|0|0|0|28|5|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|0		1	700|1300|2800|4800|7300|10300|13800|17800|22300|27300			0		1|51|1|開眼三角褲貓來襲！ - 三角褲貓進化之路 超級難	Panties_Cat_(Special_Cat)
1	3	世界篇第1章「月球」過關後開放	使用足夠的XP及貓薄荷可進化	50	0			500000!0|3!31|3!32|3!34|1!43|1!164					50|100|3100|7100|12100|18100|25100|33100|42100|52100	第3進化後體力上升！<br>同時提升會心一擊率<br>並取得小波動攻擊！		0			Moneko_(Special_Cat)
1	3	達成30天登入獎勵章後可入手	於開眼活動關卡「開眼輪輪貓來襲！」取得後Lv20可進化	50	0								100|300|1500|3100|5100|7500|10300|13500|17100|21100			0		1|52|1|開眼輪輪貓來襲！ - 輪輪貓進化之路 超級難	Tricycle_Cat_(Special_Cat)
