id	name_tw	name_jp	price	description	health_point	knockbacks	speed	range	preswing_1	preswing_2	preswing_3	attack_power_1	attack_power_2	attack_power_3	time_between_attacks	backswing	attack_frequency	attack_type	trait	ability_enabled	long_distance_1	long_distance_2	immunity	ability	cd
0	貓咪	ネコ	50	可以低成本生產的基本角色	100	3	10	140	8	0	0	8	0	0	30	10	37	1	0	4			0		150
0	健美貓	ネコビルダー	50	飽經鍛鍊的肌肉是魅力所在的|基本角色	100	3	10	140	8	0	0	8	0	0	30	8	37	1	0	4			0		150
0	摩西根貓	ネコモヒカン	50	飽經鍛鍊的肌肉跟很MAN的髮型|是魅力所在的基本角色	200	3	10	140	8	0	0	16	0	0	30	8	37	1	0	4			0		150
1	坦克貓	タンクネコ	100	體力很強的肉盾角色|攻擊力跟弱雞差不多（範圍攻擊）	400	1	8	110	8	0	0	2	0	0	60	8	67	2	0	4			0		240
1	牆貓	ネコカベ	100	用來當人牆最適合不過的肉盾角色|攻擊力還是老樣子(範圍攻擊)	400	1	8	110	8	0	0	2	0	0	60	8	67	2	0	4			0		240
1	橡皮貓	ゴムネコ	100	用來當人牆最適合不過的肉盾角色|利用橡膠的彈力更加強化|攻擊力還是老樣子(範圍攻擊)	600	1	8	110	8	0	0	4	0	0	60	8	67	2	0	4			0		240
2	戰鬥貓	バトルネコ	200	戰鬥型的角色|善於攻擊「紅色敵人」	200	3	12	150	8	0	0	25	0	0	20	8	27	1	1	4			0	25&	210
2	勇者貓	勇者ネコ	200	崇拜勇者的戰鬥型角色|善於攻擊「紅色敵人」	200	3	12	150	8	0	0	25	0	0	20	8	27	1	1	4			0	25&	210
2	暗黑貓	暗黒ネコ	200	對黑暗英雄也很崇拜的|戰鬥型的角色|善於攻擊「紅色敵人」	400	3	12	150	8	0	0	50	0	0	20	9	27	1	1	4			0	25&	300
3	噁心貓	キモネコ	400	可以攻擊遠處敵人的遠距離攻擊型角色|只是單發的話攻擊力很高	400	3	10	350	8	0	0	100	0	0	120	8	127	1	0	4			0		330
3	美腿貓	美脚ネコ	400	對自己超美的腿感到驕傲的遠距離攻擊型角色|只是單發的話攻擊力很高	400	3	10	350	6	0	0	100	0	0	120	6	125	1	0	4			0		330
3	筋肉美腿貓	ムキあしネコ	400	對自己健美的腿感到驕傲的遠距離攻擊型角色|只是單發的話攻擊力很高|善於攻擊異星戰士	800	3	10	350	6	0	0	200	0	0	120	6	125	1	32	4			0	25&	490
4	牛貓	ウシネコ	500	動作敏捷移動能力優越的角色|攻擊次數也沒話說	500	5	30	140	6	0	0	13	0	0	0	4	10	1	0	4			0		270
4	長頸鹿貓	ネコキリン	500	動作敏捷移動能力優越的角色|把長長的脖子當頭錘很搞笑	500	5	30	140	6	0	0	13	0	0	0	4	10	1	0	4			0		270
4	獅子貓	ネコライオン	500	動作敏捷移動能力優越的角色|頭上的鬃毛也可用於大掃除	1000	5	30	140	6	0	0	26	0	0	0	4	10	1	0	4			0		390
5	鳥貓	ネコノトリ	650	體力雖然低但可以一次攻擊所有敵人|具有超級破壞力的角色（範圍攻擊）	300	4	10	170	10	0	0	140	0	0	40	4	49	2	0	4			0		250
5	UFO貓	ネコＵＦＯ	650	超越重力的改造貓咪|可以將敵人一網打盡（範圍攻擊）	300	4	10	170	18	0	0	165	0	0	40	8	57	2	0	4			0		250
5	天空之貓	天空のネコ	650	施展的光彈可以在瞬間燒光巨大城市的|空中都市型貓咪|偶爾能使天使敵人攻擊力下降（範圍攻擊）	600	4	10	170	18	0	0	330	0	0	40	8	57	2	16	4			0	21@20!50!120	370
6	魚貓	ネコフィッシュ	800	戰鬥型的高級角色|善於攻擊「紅色敵人」	700	3	10	150	10	0	0	180	0	0	44	8	53	1	1	4			0	25&	390
6	鯨貓	ネコクジラ	800	進化成肉食鯨魚的高級戰鬥角色|善於攻擊「紅色敵人」	700	3	10	150	10	0	0	180	0	0	44	8	53	1	1	4			0	25&	390
6	島貓	ネコ島	800	進化成最適合貓咪渡假形態的角色|善於攻擊「紅色敵人」|偶爾會發出會心一擊	1400	3	10	150	10	0	0	360	0	0	44	8	53	1	1	4			0	25&|4&2	510
7	蜥蜴貓	ネコトカゲ	1000	可以攻擊遠處敵人的遠距離攻擊型角色|只是單發的話攻擊力超凡	800	3	10	400	10	0	0	350	0	0	120	4	129	1	0	4			0		570
7	龍貓	ネコドラゴン	1000	從幻想世界降臨的遠距離攻擊型角色|只是單發的話攻擊力超凡	800	3	10	400	8	0	0	350	0	0	120	8	127	1	0	4			0		570
7	龍王貓	ネコキングドラゴン	1000	擠身成為龍界的精英的|遠距離攻擊型角色|只是單發的話攻擊力超凡	900	3	10	400	8	0	0	400	0	0	120	8	127	1	0	4			0		770
8	巨神貓	巨神ネコ	1300	具有超強破壞力和強韌體力|最頂級角色（範圍攻擊）	1000	1	8	150	18	0	0	280	0	0	50	8	67	2	0	4			0		810
8	巨人貓	ネコダラボッチ	1300	具有超強破壞力和強韌體力|掌控破壞的貓神（範圍攻擊）	1000	1	8	150	18	0	0	280	0	0	50	14	67	2	0	4			0		810
8	賈拉米貓	ネコジャラミ	1300	偶爾會打飛敵人|掌控破壞的巨貓（範圍攻擊）|叔叔有練過，小孩子不要模仿唷！	2000	1	8	150	18	0	0	560	0	0	50	14	67	2	2551	4			0	30@30	930
9	女優貓	ネコ女優	600	為了上鏡頭，什麼都肯做的長射程攻擊型角色|與美腿角色的組合簡直是美的極致！|具有遠距離範圍攻擊能力的寶貴角色！	400	3	10	350	7	0	0	100	0	0	120	5	126	2	0	4			0		330
9	聖母貓	ネコ聖母	600	充滿慈愛的長射程攻擊型角色|與美腿角色的組合簡直是美的極致！|具有遠距離範圍攻擊能力的寶貴角色！	400	3	10	350	7	0	0	100	0	0	120	9	126	2	0	4			0		330
9	猛男貓	ネコマッチョ	600	曾在地下格鬥場獲冠的長射程攻擊型角色|與壯碩美腿型角色結合後簡直是美的極致！|肌肉發達所以體力跟攻擊速度絕佳！（範圍攻擊）	650	3	10	350	7	0	0	100	0	0	80	9	86	2	0	4			0		330
