rank	message	reward_id	reward_count
100	獲得1張稀有券	21	1
200	獲得5個加速	0	5
300	獲得XP50000	6	50000
400	獲得1個寶物雷達	1	1
500	獲得2張貓咪券	20	2
600	獲得2個洞悉先機	4	2
700	獲得XP100000	6	100000
800	獲得1張稀有券	21	1
900	解放「稀有角色」的等級上限<br>可升至25級<br><span class="fs76">※以XP升級※</span>		
1000	解放「激稀有角色」的等級上限(狂亂及部分角色除外)<br>最高可升至25級<br><span class="fs76">※以XP升級※</span>		
1050	獲得3個土豪貓	2	3
1100	解放「超激稀有角色」的等級上限<br>最高可升至25級<br><span class="fs76">※以XP升級※</span>		
1110	解放「？？稀有角色」的等級上限<br>可升至25級<br><span class="fs76">※以XP升級※</span>		
1150	獲得2個狙擊手	5	2
1200	解放「稀有角色」的等級上限<br>可升至30級<br><span class="fs76">※以XP升級※</span>		
1250	獲得2張貓咪轉蛋券	20	2
1300	解放「激稀有角色」的等級上限(狂亂及部分角色除外)<br>最高可升至30級<br><span class="fs76">※以XP升級※</span>		
1350	獲得1張稀有券	21	1
1400	解放「超激稀有角色」的等級上限<br>最高可升至30級<br><span class="fs76">※以XP升級※</span>		
1410	解放「？？稀有角色」的等級上限<br>可升至30級<br><span class="fs76">※以XP升級※</span>		
1450	解放3組新的貓咪聯組		
1500	解放「基本角色」的附加等級上限<br>最高可附加至＋25		
1550	獲得1個彩虹貓薄荷	40	1
1600	解放「EX角色」的附加等級上限<br>最高可升至30級<br><span class="fs76">※以XP升級※</span>		
1650	獲得3個貓眼石【EX】	50	3
1700	解放「基本角色」的附加等級上限<br>最高可附加至＋30<br><span class="fs76">※以轉蛋升級※</span>		
1750	獲得3個貓眼石【稀有】	51	3
1800	解放「稀有角色」的附加等級上限<br>最高可附加至＋20<br><span class="fs76">※以轉蛋升級※</span>		
1850	獲得3個貓眼石【激稀有】	52	3
1900	解放「稀有角色」的附加等級上限<br>最高可附加至＋30<br><span class="fs76">※以轉蛋升級※</span>		
1950	獲得3個貓眼石【超激稀有】	53	3
2000	解放「激稀有角色」的附加等級上限<br>最高可附加至＋20<br><span class="fs76">※以轉蛋升級※</span>		
2050	獲得3個喵力達C	57	3
2100	解放「超激稀有角色」的附加等級上限<br>最高可附加至＋20<br><span class="fs76">※以轉蛋升級※</span>		
2150	解放3組新的貓咪聯組		
2200	獲得1張稀有券	21	1
2250	獲得1個彩虹貓薄荷	40	1
2300	解放「稀有角色」的附加等級上限<br>最高可附加至＋40<br><span class="fs76">※以轉蛋升級※</span>		
2350	獲得3個貓眼石【EX】	50	3
2400	解放「激稀有角色」的附加等級上限<br>最高可附加至＋30<br><span class="fs76">※以轉蛋升級※</span>		
2450	獲得3個貓眼石【稀有】	51	3
2500	解放「超激稀有角色」的附加等級上限<br>最高可附加至＋30<br><span class="fs76">※以轉蛋升級※</span>		
2550	獲得3個貓眼石【激稀有】	52	3
2600	獲得1張稀有券	21	1
2650	獲得3個貓眼石【超激稀有】	53	3
2700	解放3組新的貓咪聯組		
2750	獲得5個狙擊手	5	5
2800	獲得1張稀有券	21	1
2850	獲得3個喵力達C	57	3
2900	解放「基本角色」的附加等級上限<br>最高可附加至＋35<br><span class="fs76">※以轉蛋升級※</span>		
2950	獲得3張貓咪轉蛋券	20	3
3000	解放「基本角色」的附加等級上限<br>最高可附加至＋40<br><span class="fs76">※以轉蛋升級※</span>		
3050	獲得1個彩虹貓薄荷	40	1
3100	解放「稀有角色」的附加等級上限<br>最高可附加至＋50<br><span class="fs76">※以轉蛋升級※</span>		
3150	獲得3個貓眼石【EX】	50	3
3200	解放「激稀有角色」的附加等級上限<br>最高可附加至＋40<br><span class="fs76">※以轉蛋升級※</span>		
3250	獲得3個貓眼石【稀有】	51	3
3300	解放「超激稀有角色」的附加等級上限<br>最高可附加至＋40<br><span class="fs76">※以轉蛋升級※</span>		
3350	獲得3個貓眼石【激稀有】	52	3
3400	獲得1張稀有券	21	1
3450	獲得3個貓眼石【超激稀有】	53	3
3500	解放「基本角色」的附加等級上限<br>最高可附加至＋45<br><span class="fs76">※以轉蛋升級※</span>		
3550	解放「基本角色」的附加等級上限<br>最高可附加至＋50<br><span class="fs76">※以轉蛋升級※</span>		
