id	reward	icon
0	加速		
1	寶物雷達		
2	土豪貓		
3	貓型電腦		
4	洞悉先機		
5	狙擊手		
6	XP		
7	NP		
8	未使用		
9	未使用		
10	XP 5000		
11	貓咪轉蛋券	20	
12	稀有券	21	
13	貓罐頭	22	
14	MH大狩猟チケット	24	
15	まもるよチケット	25	
16	招福轉蛋券	23	
17	招福轉蛋券	23	
18	招福轉蛋券	23	
19	招福轉蛋券	23	
20	白金券	29	
21	招福轉蛋券	23	
22	招福轉蛋券	23	
23	招福轉蛋券		
24	招福轉蛋券	23	
25	招福轉蛋券	23	
26	招福轉蛋券		
27	招福轉蛋券		
28	招福轉蛋券		
29	白金券		
30	紫色貓薄荷種子		
31	紅色貓薄荷種子		
32	藍色貓薄荷種子		
33	綠色貓薄荷種子		
34	黃色貓薄荷種子		
35	紫色貓薄荷		
36	紅色貓薄荷		
37	藍色貓薄荷		
38	綠色貓薄荷		
39	黃色貓薄荷		
40	彩虹貓薄荷		
41	古代貓薄荷種子		
42	古代貓薄荷		
43	彩虹貓薄荷種子		
44	黃金貓薄荷		
45	招福轉蛋券		
46	招福轉蛋券		
47	招福轉蛋券		
48	招福轉蛋券		
49	招福轉蛋券		
50	貓眼石【EX】		
51	貓眼石【稀有】		
52	貓眼石【激稀有】		
53	貓眼石【超激稀有】		
54	貓眼石【傳說】		
55	喵力達A		
56	喵力達B		
57	喵力達C		
58	貓眼石【闇】		
59	ダミー		
60	貓咪砲攻擊力		
61	貓咪砲射程		
62	貓咪砲充電		
63	工作狂貓的工作效率		
64	工作狂貓錢包		
65	城堡體力		
66	研究力		
67	會計能力		
68	學習力		
69	統率力		
70	貓咪隊員：未定1		
71	貓咪隊員：未定2		
72	貓咪隊員：未定3		
73	貓咪隊員：未定4		
74	貓咪隊員：未定5		
75	招福轉蛋券		
76	招福轉蛋券		
77	招福轉蛋G券		
78	XP 100000		
79	ダミー		
80	經驗值A		
81	經驗值B		
82	經驗值C		
83	經驗值D		
84	經驗值E		
85	紅磚		
86	羽毛		
87	備長炭		
88	鋼製齒輪		
89	黃金		
90	宇宙石		
91	神秘骨頭		
92	助手		
93	招福轉蛋券		
94	招福轉蛋G券		
95	招福轉蛋G券		
96	招福轉蛋G券		
97	招福轉蛋G券		
98	招福轉蛋G券		
99	招福轉蛋券		
100	招福轉蛋G券		
101	招福轉蛋		
102	招福轉蛋G券		
103	招福轉蛋G券		
104	招福轉蛋券		
105	首領旗		
106	招福轉蛋G券		
107	招福轉蛋券		
108	招福轉蛋G券		
109	招福轉蛋G券		
110	招福轉蛋券		
111	ビックリマンチョコ		
112	招福轉蛋券		
113	招福轉蛋券G		
114	招福轉蛋G券		
115	招福轉蛋G券		
116	招福轉蛋券		
