jp	tw	en	kr
角色攻擊力	キャラクターの攻撃力	Unit Attack	캐릭터의 공격력
角色體力	キャラクターの体力	Unit Defense	캐릭터의 체력
角色移動速度	キャラクターの移動速度	Unit Speed	캐릭터의 이동속도
初期貓咪砲能量值	にゃんこ砲初期ゲージ	Cannon Start Level	냥코 대포의 초기 게이지
初期工作狂貓等級	働きネコの初期レベル	Worker Cat Start Level	일 고양이의 초기 레벨
初期所持金額	初期所持金	Starting Money	초기 소지금
貓咪砲攻擊力	にゃんこ砲攻撃力	Cat Cannon Power	냥코 대포 공격력
貓咪砲充電速度	にゃんこ砲チャージ速度	Cat Cannon Recharge	냥코 대포 충전 속도
工作狂貓的工作效率	働きネコ仕事効率	Worker Cat Speed	일 고양이 일 효율
工作狂貓錢包	働きネコお財布	Worker Cat Max	일 고양이 지갑
城堡耐久力	お城耐久力	Cat Base Defense	성 내구력
研究力	研究力	Research Power	연구력
會計能力	会計力	Accounting Power	회계력
學習力	勉強力	Study Power	공부력
「善於攻擊」的效果	「めっぽう強い」効果	"Strong" Effect	「엄청 강하다」효과
「超大傷害」的效果	「超ダメージ」効果	"Massive Damage" Effect	「초 데미지」효과
「很耐打」的效果	「打たれ強い」効果	"Resistant" Effect	「맷집이 좋다」효과
「打飛敵人」的效果	「ふっとばし」効果	"Knockback" Effect	「날려버린다」효과
「使動作變慢」的效果	「遅くする」効果	"Slow" Effect	「느리게 한다」효과
「使動作停止」的效果	「動きを止める」効果	"Freeze" Effect	「움직임을 멈춘다」효과
「攻擊力下降」的效果	「攻撃力ダウン」効果	"Weaken" Effect	「공격력 다운」효과
「攻擊力上升」的效果	「攻撃力上昇」効果	"Strengthen" Effect	「공격력 업」효과
「終結魔女」的效果	「魔女キラー」効果	"Witch Killer" Effect	「마녀 킬러」효과
「終結使徒」的效果	「使徒キラー」効果	"Eva Angel Killer" Effect	「사도 킬러」효과
「會心一擊」的發動率	「クリティカル」発動率	"Critical" Rate	「크리티컬」발동률にゃんこ軍団	貓咪軍團	Cat Army	냥코군단
進化！にゃんこ軍団	進化！貓咪軍團	Cat Army MkII	진화! 냥코군단
アフター５	下班後的樂趣	Behind Closed Doors	수상한 관계
スプリングパワー	彈簧魔力	Boing Boing	스프링 파워
ホゲー	大鯨捕獲祭	Cap'n Ahab	고래잡이
デスロック	DeathRock	Deathrock	데스메탈
魔女っ娘	小魔女	Witch Please	위치즈
ウイリアムテル	命中靶心	William Tell	윌리엄 텔
ポクポクチーン	叩叩鏘ー	Dharma	나무아미타불
少年ニャンプ	貓島少年	Shonen Manga	소년 냥프
朝食セット	早安套餐	Breakfast	조식 세트
ねこの館	貓咪占心館	Medium Cool	고양이 점집
アイラブジャパン	I LOVE JAPAN	Cool Japan	재팬 코스프레
ホームエレクトリック	家電一族	Electric Home	가전 제품
日光浴	日光浴	Sunbathers	일광욕
パタパタ	飛上青天	Sound of Wings	파닥파닥
王子さまぁ	王子殿下❤	Princes Wanted	왕자님~
４本の槍	四支槍	Valorous	4개의 창
妖怪退散！	妖怪退散！	Bustin' Ghosts	요괴 퇴치!
斧の達人	弄斧達人	Choppers	도끼의 달인
みかんとリンゴ	橘子與蘋果	Apples and Oranges	귤과 사과
O・ZI・GI	鐵・脖・功	Take a Bow	바른 인사
アイドル志望	偶像志願	Sister Act	아이돌 지망생
バイクツーリング	重機快感	Hecks Angels	바이크 투어링
知能犯	智慧型罪犯	Cybercrimes	지능범
眼帯ズ	眼帶們	Patched Up	안대 형제
高みの見物	站在高崗上	With a View	높은 곳이 좋아
ヘッドショット	爆頭一哥	Crackshot	헤드샷
ブラパンツ	內在美小姐	Lingerie Special	속옷 세트
金は天下の回りもの	錢乃身外之物	Get Rich	돈은 돌고 도는것
スーパースター	超級巨星團	The Divas	슈퍼 스타
オハナガサイタ	盛開的季節	In Bloom	ㅇㅇㅇ꽃이 피었습니다!
北風と太陽	北風與太陽	Cool Breeze, Hot Day	북서풍과 태양
フェイスペイント	我愛紋面	Face Paint	페이스 페인팅
美女	美女組	Cover Girl	미녀
月と太陽	月亮與太陽	Sun and Moon	달과 태양
ヒーローズ	英雄們	Just Us League	히어로즈
ダークヒーローズ	黑暗英雄	Revengers	다크 히어로즈
西遊記	西遊記	Journey to the West	레드 옐로 블루
カウボーイ	牛仔哥	Rawhide	카우보이
ラスボス	最終頭目	Last Boss	라스트 보스
定期メンテナンス	定期維修	Overhaul	정기 점검
超進化！にゃんこ軍団	超進化！貓咪軍團	Maxed Out	초 진화! 냥코군단
２人でぴょんぴょん	２人彈跳樂	Pyon Pyon for Two	둘이서 깡충깡충
ビューティバスト	超完美比例	Curves	뷰티 바스트
戦国ライバル	戰國死敵	Nemeses	바사라즈 커플
サイエンスフィクション	科學怪象	X-Files	사이언스 픽션
ビューティフルレッグス	美腿怪魔	Legs for Days	뷰티풀 레그
美術教室	美術教室	Art History	미술 교실
ホゲーー	超大鯨捕獲祭	Moby Dick	큰고래 잡이
お魚天国	魚之天國	Back to School	생선 천국
暴風一家	暴風一家	Eye of the Storm	스톰 일가족
進撃の狂乱ネコ	進擊的狂亂貓	Crazy Hearts	진격의 광란의 고양이
モヒカン愛好家	龐克頭愛好家	Mo' Hawks	모히칸 애호가
未確認飛行物体	未確認飛行物體	Saucers	미확인 비행물체
ロボトモ	機械友誼	Mecha	로봇친구
マッチョマン	小鮮肉	Macho Man	마초맨
風神雷神	風神雷神	Thunder and Lightning	풍신뇌신
ノースリーブズ	健身俱樂部	Biceps	탱크탑
銃撃戦	槍擊戰	Triggermen	총격전
４人でぴょんぴょん	４人彈跳樂	Bouncing Four	넷이서 깡총깡총
操り職人	操偶職人	Pulling Strings	부두술사의 저주
うちわの使い手	舞扇達人	Big Fans	부채의 달인
キング ＆ クイーン	國王與皇后	King and Queen	킹 앤 퀸
古代勇者	古代勇者	Ancient Heroes	고대용사
ウルトラソウルズ	超級靈魂勇者	Ultra Souls	울트라 소울즈
伝説のネコルガ一族	傳說的不明貓一族	Legend of the Nekoluga	전설의 루가 일족
大皇帝	大皇帝	Dragon Emperors	초 파괴 대제
超激ダイナマイツ	超激烈爆彈	Dynamites	다이너마이트 군단
初代・武神バサラーズ	初代・武神巴薩拉斯	The First Vajiras	바사라즈 삼총사
ダブルデート	四人約會	Double Date	더블 데이트
なまけ者たち	懶鬼一族	Lazing About	게으름쟁이들
うーらーめーしーにゃ	幽魂來也	Curses!!!	원~망~스럽다~냥~
進化！進撃の狂乱ネコ	進化！進擊的狂亂貓	The Crazening	진화! 진격의 광란의 고양이
暗黒の力	黑暗的力量	Power of Darkness	암흑의 힘
キモモモ	敲噁Derrrrr	Gross!!!	징글징글
