jp	tw	en	kr
わんこ	狗仔	Doge	멍뭉이
にょろ	扭扭蛇	Snache	낼름이
例のヤツ	團結筷子幫	Those Guys	놈놈놈
カバちゃん	河馬將	Hippoe	하마양
ブタヤロウ	豬野郎	Pigge	돼지새끼
ジャッキー・ペン	企鵝大哥	Jackie Peng	재키 펭
ゴリさん	大猩猩	Gory	고릴라저씨
メェメェ	咩咩	Baa Baa	메에메에
ゴマさま	斑海豹桑	Sir Seal	바・다레오파드
パオン	澎湃	Le'boin	빠옹
カ・ンガリュ	袋拳	Kang Roo	캥거류
一角くん	一角君	One Horn	투뿔소
クマ先生	熊熊老師	Teacher Bear	곰 선생
ワニック	鱷魚宅宅	Croco	아거
ウサ銀	臭老兔	B.B.Bunny	엘리트래빗
リッスントゥミー	松鼠阿嘎	Squire Rel	다람・G
ブラックマ	黑熊	Assassin Bear	블랙쿠마
赤羅我王	赤面歌王	Shy Boy	홍당무왕
カオル君	臉君	The Face	대갈이군
カンバン娘	看板小妹	Ms. Sign	간판 아가씨
ガガガガ	蛾蛾蛾蛾	Mooth	나나나난나방
悪の帝王 ニャンダム	惡之帝王貓彈	Dark Emperor Nyandam	악의제왕 야옹마
ぶんぶん先生	噴噴老師	Teacher Bun Bun	맴매 선생
師匠	師匠	Master A.	스승
ダチョウ同好会	鴕鳥愛美惠	R.Ost	타조동호회
フルぼっこ	破壞一族	Otta-smack-u	두드리
コアラッキョ	無尾熊球	Kory	코알락교
こぶへい	駝背	Camelle	혹부리 낙타
アヒルンルン	鴨子倫倫	Duche	오리룰루
まゆげどり	眉毛鳥	Owlbrow	부엉이 눈썹
イノシャシ	獅豬	Bore	샤이 보어
ナマルケモルル	樹懶賴	THE SLOTH	늘보보
ナカイくん	粥董	Rain D.	사순록
だっふんど	拉腸狗	Dagshund	핫도그
セレブ	貴賓	Celeboodle	된장 푸들
ハイ・エナジー	鬣狼	H. Nah	하이 에너지
ダディ	瀟灑哥	Dober P.D	대디
ウルフとウルルン	狼與少女	Ururun Wolf	울프와 우루룬
殺意のわんこ	殺意狗	Doge Dark	살의의 멍뭉이
メタルカバちゃん	鋼鐵河馬將	Metal Hippoe	메탈 하마양
エリザベス2世	伊麗莎白2世	St. Pigge the 2nd	엘리자베스 2세
赤井ブン太郎	赤井噴太郎	J.K. Bun Bun	셰익스피망
ブラックブンブン	黑色噴噴	Bun Bun Black	블랙 맴매
ブラッゴリ	黑猩猩	Gory Black	블랙 고릴라저씨
シャドウボクサー	影子拳擊手	Shadow Boxer K	쉐도우 복서
クロサワ監督	黑澤導演	Director Kurosawah	쿠로사와 감독
超メタルカバちゃん	超級鋼鐵河馬將	Super Metal Hippoe	슈퍼 메탈 하마양
メタルサイボーグ	鋼鐵犀一角	Metal One Horn	메탈 사이보그
メタックマ	鋼鐵熊	Teacher Cybear	메타쿠마
メタルカオル君	鋼鐵臉君	CyberFace	메탈 대갈이 군
メタルゴマさま	鋼鐵斑海豹桑	Sir Metal Seal	메탈 바・다레오파드
ペ課長	企課長	Chief Peng	펭과장
悪魔王サンタ	惡魔王聖誕老人	Dark Emperor Santa	악마왕 산타
レッドサイクロン	赤色旋風	Red Cyclone	레드 사이클론
獅子カバブー	河馬開口獅	Lione Hippoe	사자하마
福の神	福神	Lucky Sloth	오컬트늘보보
クマトーク	熊熊敢死隊	Bears Be Bare	곰 다섯마리
ホワイトサイクロン	白色旋風	White Cyclone	화이트 사이클론
ブラックサイクロン	黑色旋風	Black Cyclone	블랙 사이클론
メタルサイクロン	鋼鐵旋風	Metal Cyclone	메탈 사이클론
狂乱のネコ	狂亂貓	Crazed Cat	광란의 고양이
狂乱のタンクネコ	狂亂坦克貓	Crazed Tank Cat	광란의 탱크 고양이
狂乱のバトルネコ	狂亂戰鬥貓	Crazed Axe Cat	광란의 배틀 고양이
狂乱のキモネコ	狂亂噁心貓	Crazed Gross Cat	광란의 징글 고양이
狂乱のウシネコ	狂亂牛貓	Crazed Cow Cat	광란의 황소 고양이
狂乱のネコノトリ	狂亂鳥貓	Crazed Bird Cat	광란의 고양이 새
狂乱のネコフィッシュ	狂亂魚貓	Crazed Fish Cat	광란의 고양이 피쉬
狂乱のネコトカゲ	狂亂蜥蜴貓	Crazed Lizard Cat	광란의 고양이 도마뱀
狂乱の巨神ネコ	狂亂巨神貓	Crazed Titan Cat	광란의 거신 고양이
高校教師	高校教師	Teacher A	담임 선생님
武者わんこ	武者狗仔	Samurai Doggy	무사 멍뭉이
メガにゃんこ	歌后貓	Mega Cat	메가 냥코
ゴリ婿	大猩猩女婿	Gory Groom	고신랑
セレス	賽蕾絲	Celesse	세레스
ノノ	諾諾	Nono	노노
オルガ	奧爾加	Olga	올가
ノルン	諾倫	Norn	노룬
よいち	優依	Yoichi	요이치
セラム	賽拉姆	Serum	세럼
フウ	弗舞	Fuu	후우
アウラ	阿烏拉	Aura	아우라
レイ	雷伊	Rei	레이
ワイバーン	飛翼龍	Wyvern	와이번
癒術士	癒術士	Healer	유술사
夏セレブ	陽傘貴賓	Sunny Celeboodle	여름 된장푸들
ビキニグマ	比基尼熊熊	Bearkini	섹시 비키니 곰
