jp	tw	en	kr
スピードアップ	加速	Speed Up	스피드 업
トレジャーレーダー	寶物雷達	Treasure Radar	트레저 레이더
ネコボン	土豪貓	Rich Cat	고양이 도령
ニャンピュータ	貓型電腦	Cat CPU	야옹컴
おかめはちもく	洞悉先機	Cat Jobs	고양이 박사
スニャイパー	狙擊手	Sniper the Cat	스냥이퍼
XP	XP	XP	XP
NP	NP	NP	NP
XP 5000	XP 5000	5000 XP	XP 5000
XP 10000	XP 10000	10000 XP	XP 10000
XP 30000	XP 30000	30000 XP	XP 30000
XP 50000	XP 50000	50000 XP	XP 50000
XP 100000	XP 100000	100000 XP	XP 100000
XP 200000	XP 200000	200000 XP	XP 200000
XP 500000	XP 500000	500000 XP	XP 500000
XP 1000000	XP 1000000	1000000 XP	XP 1000000
XP 2000000	XP 2000000	2000000 XP	XP 2000000
XP 500000	XP 500000	XP 500000	XP 500000
にゃんこチケット	貓咪轉蛋券	Cat Ticket	냥코 티켓
レアチケット	稀有券	Rare Ticket	레어 티켓
ネコカン	貓罐頭	Cat Food	고양이 통조림
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
MH大狩猟チケット			
まもるよチケット			
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
プラチナチケット	白金券	Platinum Ticket	플래티넘 티켓
紫マタタビの種	紫色貓薄荷種子	Purple Catfruit Seed	보라 개다래나무의 씨앗
赤マタタビの種	紅色貓薄荷種子	Red Catfruit Seed	빨강 개다래나무의 씨앗
青マタタビの種	藍色貓薄荷種子	Blue Catfruit Seed	파랑 개다래나무의 씨앗
緑マタタビの種	綠色貓薄荷種子	Green Catfruit Seed	초록 개다래나무의 씨앗
黄マタタビの種	黃色貓薄荷種子	Yellow Catfruit Seed	노랑 개다래나무의 씨앗
紫マタタビ	紫色貓薄荷	Purple Catfruit	보라 개다래 열매
赤マタタビ	紅色貓薄荷	Red Catfruit	빨강 개다래 열매
青マタタビ	藍色貓薄荷	Blue Catfruit	파랑 개다래 열매
緑マタタビ	綠色貓薄荷	Green Catfruit	초록 개다래 열매
黄マタタビ	黃色貓薄荷	Yellow Catfruit	노랑 개다래 열매
虹マタタビ	彩虹貓薄荷	Epic Catfruit	무지개 개다래 열매
古代マタタビの種	古代貓薄荷種子	Elder Catfruit Seed	고대 개다래나무의 씨앗
古代マタタビ	古代貓薄荷	Elder Catfruit	고대 개다래 열매
