jp	tw	en	kr
【日本編1章】|日本編1章の最高のお宝を全てゲット	【世界篇1章】|取得世界篇1章全部的"最棒的寶物"	★ Builder of Empires ★|Collect all Gold Treasures from Empire of Cats Ch. 1	세계편 1장|세계편 1장의 최고급 보물 모두 획득
【日本編2章】|日本編2章の最高のお宝を全てゲット	【世界篇2章】|取得世界篇2章全部的"最棒的寶物"	★ Builder of Empires 2 ★|Collect all Gold Treasures from Empire of Cats Ch. 2	세계편 2장|세계편 2장의 최고급 보물 모두 획득
【日本編3章】|日本編3章の最高のお宝を全てゲット	【世界篇3章】|取得世界篇3章全部的"最棒的寶物"	★ Builder of Empires 3 ★|Collect all Gold Treasures from Empire of Cats Ch. 3	세계편 3장|세계편 3장의 최고급 보물 모두 획득
【日本奪還Ⅰ】|日本編1章のゾンビステージを全クリア	【奪還世界Ⅰ】|通過世界篇1章全部的"不死生物感染關卡"	★ Undead Slayer ★|Clear all Empire of Cats Ch. 1 Zombie Outbreak Stages	세계 수호Ⅰ|세계편 1장의 좀비 스테이지 모두 클리어
【日本奪還Ⅱ】|日本編2章のゾンビステージを全クリア	【奪還世界Ⅱ】|通過世界篇2章全部的"不死生物感染關卡"	★ Undead Slayer 2 ★|Clear all Empire of Cats Ch. 2 Zombie Outbreak Stages	세계 수호Ⅱ|세계편 2장의 좀비 스테이지 모두 클리어
【日本奪還Ⅲ】|日本編3章のゾンビステージを全クリア	【奪還世界Ⅲ】|通過世界篇3章全部的"不死生物感染關卡"	★ Undead Slayer 3 ★|Clear all Empire of Cats Ch. 3 Zombie Outbreak Stages	세계 수호Ⅲ|세계편 3장의 좀비 스테이지 모두 클리어
【未来編1章】|未来編1章の最高のお宝を全てゲット	【未來篇1章】|取得未來篇1章全部的"最棒的寶物"	★ The Future Is Ours ★|Collect all Gold Treasures from Into the Future Ch. 1	미래편 1장|미래편 1장의 최고급 보물 모두 획득
【未来編2章】|未来編2章の最高のお宝を全てゲット	【未來篇2章】|取得未來篇2章全部的"最棒的寶物"	★ The Future Is Ours 2 ★|Collect all Gold Treasures from Into the Future Ch. 2	미래편 2장|미래편 2장의 최고급 보물 모두 획득
【未来編3章】|未来編3章の最高のお宝を全てゲット	【未來篇3章】|取得未來篇3章全部的"最棒的寶物"	★ The Future Is Ours 3 ★|Collect all Gold Treasures from Into the Future Ch. 3	미래편 3장|미래편 3장의 최고급 보물 모두 획득
【未来奪還Ⅰ】|未来編1章のゾンビステージを全クリア	【奪還未來Ⅰ】|通過未來篇1章全部的"不死生物感染關卡"	★ ...And Stay Dead ★|Clear all Into the Future Ch. 1 Zombie Outbreak Stages	미래 수호Ⅰ|미래편 1장의 좀비 스테이지 모두 클리어
【未来奪還Ⅱ】|未来編2章のゾンビステージを全クリア	【奪還未來Ⅱ】|通過未來篇2章全部的"不死生物感染關卡"	★ ...And Stay Dead 2 ★|Clear all Into the Future Ch. 2 Zombie Outbreak Stages	미래 수호Ⅱ|미래편 2장의 좀비 스테이지 모두 클리어
【宇宙編1章】|宇宙編1章の最高のお宝を全てゲット	【宇宙篇1章】|取得宇宙篇1章全部的"最棒的寶物"	★ Cosmos Conquistador ★|Collect all Gold Treasures from Cats of the Cosmos Ch. 1	우주편 1장|우주편 1장의 최고급 보물 모두 획득
【宇宙編2章】|宇宙編2章の最高のお宝を全てゲット	【宇宙篇2章】|取得宇宙篇2章全部的"最棒的寶物"	★ Cosmos Conquistador 2 ★|Collect all Gold Treasures from Cats of the Cosmos Ch. 2	우주편 2장|우주편 2장의 최고급 보물 모두 획득
【宇宙編3章】|宇宙編3章の最高のお宝を全てゲット	【宇宙篇3章】|取得宇宙篇3章全部的"最棒的寶物"	★ Cosmos Conquistador 3 ★|Collect all Gold Treasures from Cats of the Cosmos Ch. 3	우주편 3장|우주편 3장의 최고급 보물 모두 획득
【侵略者撃破】|フィリバスターステージをクリア	【擊破侵略者】|通過"議事阻撓貓關卡"	★ No More Worlds to Conquer? ★|Defeat Filibuster Obstructa.	침략자 격파|필리버스터 스테이지 클리어
【伝説のネコⅠ】|レジェンドストーリー|ステージレベル1を全クリア	【傳說的貓咪Ⅰ】|通過傳奇故事|全部的"關卡等級1關卡"	★ I Am Legend ★|Clear All Level 1|Stories of Legend stages	전설의 냥코Ⅰ|레전드 스토리|스테이지 레벨 1을 모두 클리어
【伝説のネコⅡ】|レジェンドストーリー|ステージレベル2を全クリア	【傳說的貓咪Ⅱ】|通過傳奇故事|全部的"關卡等級2關卡"	★ I Am Legend 2 ★|Clear All Level 2|Stories of Legend stages	전설의 냥코Ⅱ|레전드 스토리|스테이지 레벨 2를 모두 클리어
【伝説のネコⅢ】|レジェンドストーリー|ステージレベル3を全クリア	【傳說的貓咪Ⅲ】|通過傳奇故事|全部的"關卡等級3關卡"	★ I Am Legend 3 ★|Clear All Level 3|Stories of Legend stages	전설의 냥코Ⅲ|레전드 스토리|스테이지 레벨 3을 모두 클리어
【レッドサイクロン】|紅のカタストロフをクリア	【赤色旋風】|通過"紅色突變"	★ Red Horizon ★|Clear "Crimson Catastrophe"	레드 사이클론|적색 카타스트로프 스테이지 클리어
【暗黒サイクロン】|ダークネスヘブンをクリア	【暗黑旋風】|通過"黑暗天堂"	★ Dark Skies ★|Clear "Heaven of Darkness"	블랙 사이클론|다크니스 헤븐 스테이지 클리어
【白金サイクロン】|国士無双をクリア	【白金旋風】|通過"國士無雙"	★ White Winds ★|Clear "Peerless"	화이트 사이클론|국사무쌍 스테이지 클리어
【天使サイクロン】|天罰をクリア	【天使旋風】|通過"天譴"	★ Holy Squall ★|Clear "Wrath of Heaven"	엔젤 사이클론|천벌 스테이지 클리어
【鋼鉄サイクロン】|鉄子の部屋をクリア	【鋼鐵旋風】|通過"鐵子的部屋"	★ Storm of Steel ★|Clear "Sweet Irony"	메탈 사이클론|아이언 냥코의 방 스테이지 클리어
【宇宙サイクロン】|絶望異次元をクリア	【宇宙旋風】|通過"絕望異次元"	★ Alien Weather ★|Clear "Dimension of Despair"	스페이스 사이클론|절망적인 이차원 스테이지 클리어
【猛烈サイクロン】|緊急爆風警報をクリア	【猛烈旋風】|通過"緊急暴風警報"	★ Perfect Threat ★|Clear "Red Sky at Morning"	허리케인 사이클론|긴급 폭풍 경보 스테이지 클리어
【Zサイクロン】|ローリングデッドをクリア	【D旋風】|通過"滾死樂團"	★ Typhoon Z ★|Clear "The Rolling Dead"	언데드 사이클론|롤링 데드 스테이지 클리어
【異次元サイクロン】|絶望新次元をクリア	【異次元旋風】|通過"絕望新次元"	★ Dimensional Rift ★|Clear "The 2nd Dimension"	슈퍼 스페이스 사이클론|절망신차원 스테이지 클리어
【古代サイクロン】|台風零号をクリア	【古代旋風】|通過"零號颱風"	★ Ancient Tempest ★|Clear "Typhoon Nemo"	고대 사이클론|제0호 태풍 스테이지 클리어
【天使降臨】|断罪天使クオリネル降臨をクリア	【天使降臨】|通過"斷罪天使海蝶降臨"	★ Angel's Cruelty ★|Clear "Clionel Ascendant"	천사 강림|단죄천사 쿠오리넬 강림 스테이지 클리어
【地獄門】|地獄門をクリア	【地獄門】|通過"地獄門"	★ Charon's Crossing ★|Clear "River Styx"	지옥문|지옥문 스테이지 클리어
【女帝飛来】|女帝飛来をクリア	【女帝飛來】|通過"女帝飛來"	★ Uncrowned ★|Clear "Queen's Coronation"	여왕의 비행|여왕의 비행 스테이지 클리어
【亡者降臨】|亡者デブウ降臨をクリア	【亡者降臨】|通過"亡者肥普降臨"	★ The Big Z ★|Clear "Dead on Debut"	망자 강림|죽은 뚱땡이 강림 스테이지 클리어
【伯爵降臨】|チワワン伯爵降臨をクリア	【伯爵降臨】|通過"吉娃娃伯爵降臨"	★ Usurper ★|Clear "King Wahwah's Revenge"	백작 강림|치와와 백작 강림 스테이지 클리어
【夢見よ乙女】|夜は短し夢みよ乙女をクリア	【少女做夢吧】|通過"春宵苦短，少女做夢吧！"	★ Time to Wake Up ★|Clear "Deeply Dreaming"	숙면|밤은 짧아 꿈꿔 아가씨야 스테이지 클리어
【河豚惑星】|ブルーインパクトをクリア	【河豚星球】|通過"藍色衝擊"	★ Comet Celeb ★|Clear "Blue Impact"	리버 피그 플래닛|블루 임팩트 스테이지 클리어
【狂乱討伐】|狂乱ステージを全クリア	【討伐狂亂】|通過全部的"狂亂關卡"	★ Crazy Enough to Work ★|Clear all Crazed Stages.	광란 토벌|광란 스테이지 모두 클리어
【大狂乱討伐】|大狂乱ステージを全クリア	【討伐大狂亂】|通過全部的"大狂亂關卡"	★ Manic Episodes ★|Clear all Maniac Stages.	대광란 토벌|대광란 스테이지 모두 클리어
【ちびネコ討伐】|開眼のちびネコステージを全クリア	【討伐小小貓】|通過全部的"開眼小小貓關卡"	★ Your Own Size ★|Clear all Li'l Stages.	꼬맹이 고양이 토벌|각성한 꼬맹이 고양이 스테이지 모두 클리어
【新年】|新年、あけました。おめっ...をクリア	【新年】|通過"新年快樂？"	★ Another Year ★|Clear "Happy New Year...?"	1월|오늘도 달린다!
【節分】|召喚された福！をクリア	【節分】|通過"被召喚的福！"	★ Ritually Speaking ★|Clear "Ritual Happiness"	2월|오컬트 축제
【ひな祭り】|雛壇の戦士達をクリア	【女兒節】|通過"人偶架上的戰士們"	★ Unbearable ★|Clear "Bears Be Bare"	3월|곰 다섯마리
【青春】|春だよ！高校教師をクリア	【青春】|通過"春天來了!高校教師 "	★ Young Love ★|Clear "Teacher! It's Spring!"	4월|선생님 봄이에요!
【こいのぼり】|コイの五月病をクリア	【戀愛至上】|通過"相思病戀歌"	★ Ambition's End ★|Clear "Love is Sickness"	5월|신록의 계절
【結婚】|禁断の花嫁をクリア	【結婚】|通過"禁斷之妻"	★ Man and Wife? ★|Clear "The Forbidden Bride"	6월|금단의 신부
【真夏】|だって夏じゃニャーイ！をクリア	【真夏】|通過"因為夏天喵！"	★ Holidays in the Sun ★|Clear "Never Summer!"	7월|와! 여름이다냥~!
【盆】|あの世からの帰省ラッシュ！をクリア	【歸鄉】|通過"返鄉熱潮！"	★ Who You Gonna Call? ★|Clear "Ghostly Houseguests"	8월|납량특집
【敬老】|町でみたすごい老人をクリア	【敬老】|通過"在鎮上看到的超強老人"	★ Respect Your Elders ★|Clear "Old Guys About Town"	9월|최강 노인전설
【運動会】|秋だよ運動会！をクリア	【運動會】|通過"秋天運動會！"	★ Work Up a Sweat ★|Clear "Autumn = Sports Day"	10월|가을은 역시 운동회지!
【勤労】|勤労感謝スペシャル！をクリア	【勞動】|通過"勞動感謝特別活動！"	★ On Strike ★|Clear "Loving Labour"	11월|칼퇴근의 꿈
【聖夜】|なんとクリスマスが来た！をクリア	【平安夜】|通過"聖誕節居然來了！"	★ A Catsmas Miracle ★|Clear "Jingle Cat Bell"	12월|징글벨 징글벨
【塔30階】|風雲にゃんこ塔の30階をクリア	【塔30樓】|通過"風雲貓咪塔30樓"	★ Floor 30 ★|Clear the 30th floor of Heavenly Tower	탑 30층|풍운 냥코탑 30층 클리어
【塔40階】|風雲にゃんこ塔の40階をクリア	【塔40樓】|通過"風雲貓咪塔40樓"	★ Floor 40 ★|Clear the 40th floor of Heavenly Tower	탑 40층|풍운 냥코탑 40층 클리어
【LEVEL FINAL】|レジェンドクエストのLEVEL FINALをクリア	【LEVEL FINAL】|通過"傳奇尋寶記的LEVEL FINAL"	★ A True Master ★|Complete the FINAL LEVEL of Legend Quest.	LEVEL FINAL|레전드 퀘스트 LEVEL FINAL 클리어
【富豪Ⅰ】|キャラクター総生産額が100万円を突破	【富豪Ⅰ】|突破"角色總生產額100萬元"	★ Making Money ★|Earn a total of 1000000 cents.	부호Ⅰ|캐릭터의 총 생산 코스트 100만원 돌파
【富豪Ⅱ】|キャラクター総生産額が500万円を突破	【富豪Ⅱ】|突破"角色總生產額500萬元"	★ Making Money 2 ★|Earn a total of 5000000 cents.	부호Ⅱ|캐릭터의 총 생산 코스트 500만원 돌파
【大富豪Ⅰ】|キャラクター総生産額が1000万円を突破	【大富豪Ⅰ】|突破"角色總生產額1000萬元"	★ Nouveau Riche ★|Earn a total of 10000000 cents.	대부호Ⅰ|캐릭터의 총 생산 코스트 1000만원 돌파
【大富豪Ⅱ】|キャラクター総生産額が5000万円を突破	【大富豪Ⅱ】|突破"角色總生產額5000萬元"	★ Nouveau Riche 2 ★|Earn a total of 50000000 cents.	대부호Ⅱ|캐릭터의 총 생산 코스트 5000만원 돌파
【超富豪Ⅰ】|キャラクター総生産額が1億円を突破	【超富豪Ⅰ】|突破"角色總生產額1億元"	★ One Percenter ★|Earn a total of 100000000 cents.	대대부호Ⅰ|캐릭터의 총 생산 코스트 1억원 돌파
