jp	tw	en	kr
伝説のはじまり	傳說的開始	The Legend Begins	전설의 시작
情熱の国	熱情的國家	Passion Land	정열의 나라
グルコサミン砂漠	葡萄糖胺沙漠	Glucosamine Desert	글루코사민 사막
猫ども海を渡る	貓咪們渡海	Swimming Cats	헤엄치는 고양이
見つめてキャッツアイ	凝視著貓眼石	Risque Terrain	캣츠아이
ウエスタン街道	西方街道	Western Street	웨스턴 가도
マグロ海域	鮪魚海域	Sea of Tuna	참치 해역
バンブー島	竹子島	Bamboo Island	수수께끼 섬
ぷにぷに鍾乳洞	黏糊糊的鐘乳洞	Squishy Cave	뿌니뿌니 종유동
ボルケーノ火山	瓦魯肯諾火山	Volkanos Volcano	볼케이노 화산
千里の道	千里之道	Neverending Cat Story	천 리 길
アオ・ザ・カナ	鹹魚要塞	Castle of Fish	생선의 요새
軍艦島	軍艦島	Sushi Island	초밥 아일랜드
つめとぎの廊下	貓咪磨爪的走廊	The Scratching Post	고양이의 복도
パルテノン神殿	帕德嫩神殿	Parthenon	파르테논신전
ずんどこ海水浴場	退潮的海水浴場	Low Tide Beach	모두의 해수욕장
アルカトラズ島	惡魔島	Alcatraz	앨커트래즈 섬
脱獄トンネル	越獄隧道	Jail Break Tunnel	탈옥터널
カポネの監獄	卡彭監獄	Capone's Jail	카포네의 감옥
シルクロード	絲綢之路	Silk Road	실크로드
闇へと続く地下道	通向黑暗的地下道	Stairway to Darkness	어둠의 지하도
魔王の豪邸	魔王的豪宅	Prince of Darkness	마왕의 대저택
終わりを告げる夜	終焉宣告之夜	Dead End Night	끝을 알리는 밤
バトルロワイアル	大混戰	Battle Royale	배틀로얄
戦争のつめあと	戰爭的傷痕	Scars of War	전쟁의 흔적
海を汚す悪しき者	污染海洋的壞人	Sea Polluter	악한 자
心と体、繋ぐもの	連接心身的東西	Body & Soul	마음과 몸을 잇는
脆弱性と弱酸性	脆弱性和弱酸性	Weak & Mildly Acidic	취약성과 약산성
導かれしネコ達	被引導的貓咪們	Intrepid Cats	유혹된 고양이들
暗黒コスモポリス	黑暗的國際城市	Shadow Cosmopolis	암흑의 코스모폴리스
ガラ・パ・ゴス	加拉・巴・哥	Galapa-Goth	갈라파고스
岩海苔半島	岩海苔半島	Kombu Cape	돌김반도
恐ろし連邦	惡羅斯聯邦	Axis of Evil	공포의 연방
亡者の住まう地	亡者聚集之地	Suburbs of the Dead	망자의 땅
絶島パンデミック	孤島大瘟疫	Quarantine Isles	열도의 판데믹
ふくろのねずみランド	迪死你樂園	Mouseyland	찍찍랜드
ハリーウッド帝国	豪來塢帝國	Walk of Fame	할리우드 제국
こしぎんちゃくの浜辺	小跟班海岸	Cutpurse Coast	2인자의 해변
雲泥温泉郷	雲泥溫泉鄉	Above & Below	운니온천
風待ちアイランド	濃濃春色島	Windless Island	무풍 아일랜드
ITカタコンベ	IT地下墓穴	IT Catacombs	IT카타콤
変覧会の絵	怪展會之畫	Grotesque Gallery	수상한 미술관
エリア２２	22區	Area 22	22구역
超越サバンナ	超越大草原	Beyond the Savannah	초월 사바나
ブリザード自動車道	暴風雪車道	Blizzard Boulevard	블리자드 도로
シンギュラリティ村	奇點村	Singularityville	싱귤래리티 마을
オワーリ大陸	最終大陸	Ends of the Earth	마지막 대륙
伝説のおわり	傳說的終點	The Legend Ends	전설의 끝
古代研究所	古代研究所	Laboratory of Relics	고대 연구소
月曜ステージ	星期一關卡	Monday Stage	월요 스테이지
火曜ステージ	星期二關卡	Tuesday Stage	화요 스테이지
水曜ステージ	星期三關卡	Wednesday Stage	수요 스테이지
木曜ステージ	星期四關卡	Thursday Stage	목요 스테이지
金曜ステージ	星期五關卡	Friday Stage	금요 스테이지
土日ステージ(旧)	週末關卡	Weekend Stage	토일 스테이지
にゃんチケ★チャンス！	貓咪券★機會！	Cat Ticket Chance!	냥코티켓★찬스!
逆襲のカバちゃん	逆襲的河馬將	Siege of Hippoe!	역습의 하마양
秋だよ運動会！(旧)	秋天運動會！	Autumn = Sports Day	가을은 역시 운동회지!
勤労感謝スペシャル！	勞動感謝特別活動！	Loving Labour	칼퇴근의 꿈
なんとクリスマスが来た！	聖誕節居然來了！	Jingle Cat Bell	징글벨 징글벨
新年、あけました！おめっ...	新年快樂？	Happy New Year ?	오늘도 달린다!
召喚された福！	被召喚的福！	Ritual Happiness	오컬트 축제
雛壇の戦士達	人偶架上的戰士們	Bears be Bare	곰 다섯마리
紅のカタストロフ	紅色突變	Crimson Catastrophe	적색 카타스트로프
ダークネスヘブン	黑暗天堂	Heaven of Darkness	다크니스 헤븐
国士無双	國士無雙	Peerless	국사무쌍
狂乱のネコ降臨	狂亂貓咪降臨	The Crazed Cat	광란의 고양이 강림
狂乱のタンク降臨	狂亂坦克貓降臨	The Crazed Tank	광란의 탱크 강림
狂乱のバトル降臨	狂亂戰鬥貓降臨	The Crazed Axe	광란의 배틀 강림
狂乱のキモネコ降臨	狂亂噁心貓降臨	The Crazed Gross	광란의 징글고양이 강림
狂乱のウシ降臨	狂亂牛貓降臨	The Crazed Cow	광란의 황소 강림
狂乱のトリ降臨	狂亂鳥貓降臨	The Crazed Bird	광란의 새 강림
狂乱のフィッシュ降臨	狂亂魚貓降臨	The Crazed Fish	광란의 피쉬 강림
狂乱のトカゲ降臨	狂亂蜥蜴貓降臨	The Crazed Lizard	광란의 도마뱀 강림
狂乱の巨神降臨	狂亂巨神貓降臨	The Crazed Titan	광란의 거신 강림
春だよ！高校教師	春天來了!高校教師	Teacher! It's Spring!	선생님 봄이에요!
土日ステージ	週末關卡	Weekend Stage	토일 스테이지
ゲリラ経験値にゃ！	游擊戰經驗值喵！	XP Stage	게릴라 경험치다냥!
コイの五月病	相思病戀歌	Love is Sickness	신록의 계절
禁断の花嫁	禁斷之妻	The Forbidden Bride	금단의 신부
だって夏じゃニャーイ！	因為夏天喵！	Never Summer!	와! 여름이다냥~!
あの世からの帰省ラッシュ！	返鄉熱潮！	Ghostly Houseguests	납량특집
月イベントオールスターズ スペシャル記念！	月間活動全明星 特別紀念！	Monthly Event All-Stars Special Celebration!	월별 스테이지 올스타즈 스페셜 기념!
月イベントオールスターズ ウルトラ記念！	月間活動全明星 超強紀念！	Monthly Event All-Stars Ultra Celebration!	월별 스테이지 올스타즈 울트라 기념!
月イベントオールスターズ ミラクル記念！	月間活動全明星 無敵紀念！	Monthly Event All-Stars Miracle Celebration!	월별 스테이지 올스타즈 미라클 기념!
町でみたすごい老人	在鎮上看到的超強老人	Old Guys About Town	최강 노인전설
韓国版☆特別ステージ	韓国版☆特別ステージ	韓国版☆特別ステージ	한국판☆특별 스테이지
秋だよ運動会！	秋天運動會！	Autumn = Sports Day!	가을은 역시 운동회지
天罰	天譴	Wrath of Heaven	천벌
バースデープレゼント！その1	祝你生日快樂！ 之１	Happy Birthday! No. 1	해피 버스 데이! 첫번째
バースデープレゼント！その2	祝你生日快樂！ 之２	Happy Birthday! No. 2	해피 버스데이! 두번째
バースデープレゼント！その3	祝你生日快樂！ 之３	Happy Birthday! No. 3	해피 버스데이! 세번째
鉄子の部屋	鐵子的部屋	Sweet Irony	아이언 냥코의 방
