jp	tw	en	kr
スピードアップ	加速	Speed Up	스피드 업
トレジャーレーダー	寶物雷達	Treasure Radar	트레저 레이더
ネコボン	土豪貓	Rich Cat	고양이 도령
ニャンピュータ	貓型電腦	Cat CPU	야옹컴
おかめはちもく	洞悉先機	Cat Jobs	고양이 박사
スニャイパー	狙擊手	Sniper the Cat	스냥이퍼
ネコビタンＡ	喵力達A	Catamin A	고양이 드링크A
ネコビタンＢ	喵力達B	Catamin B	고양이 드링크B
ネコビタンＣ	喵力達C	Catamin C	고양이 드링크C
キャッツアイ【ＥＸ】	貓眼石【EX】	Special Catseye	캣츠아이 【EX】
キャッツアイ【レア】	貓眼石【稀有】	Rare Catseye	캣츠아이 【레어】
キャッツアイ【激レア】	貓眼石【激稀有】	Super Rare Catseye	캣츠아이 【슈퍼레어】
キャッツアイ【超激レア】	貓眼石【超激稀有】	Uber Rare Catseye	캣츠아이 【울트라 슈퍼 레어】
キャッツアイ【伝説レア】	貓眼石【傳說】	Legend Catseye	캣츠아이 【레전드】
キャッツアイ【闇】	貓眼石【闇】	Dark Catseye	캣츠아이 【다크】
XP	XP	XP	XP
NP	NP	NP	NP
ネコカン	貓罐頭	Cat Food	고양이 통조림
リーダーシップ	首領旗	Leadership	리더십 깃발
紫マタタビの種	紫色貓薄荷種子	Purple Catfruit Seed	보라 개다래나무의 씨앗
赤マタタビの種 	紅色貓薄荷種子	Red Catfruit Seed	빨강 개다래나무의 씨앗
青マタタビの種	藍色貓薄荷種子	Blue Catfruit Seed	파랑 개다래나무의 씨앗
緑マタタビの種	綠色貓薄荷種子	Green Catfruit Seed	초록 개다래나무의 씨앗
黄マタタビの種 	黃色貓薄荷種子	Yellow Catfruit Seed	노랑 개다래나무의 씨앗
古代マタタビの種	古代貓薄荷種子	Elder Catfruit Seed	고대 개다래나무의 씨앗
悪マタタビの種 	惡貓薄荷種子	Aku Catfruit Seed	악마 개다래나무의 씨앗
虹マタタビの種	彩虹貓薄荷種子	Epic Catfruit Seed	무지개 개다래나무의 씨앗
金マタタビの種	黃金貓薄荷種子	Gold Catfruit Seed	황금 개다래나무의 씨앗
紫マタタビ	紫色貓薄荷	Purple Catfruit	보라 개다래 열매
赤マタタビ 	紅色貓薄荷	Red Catfruit	빨강 개다래 열매
青マタタビ	藍色貓薄荷	Blue Catfruit	파랑 개다래 열매
緑マタタビ	綠色貓薄荷	Green Catfruit	초록 개다래 열매
黄マタタビ	黃色貓薄荷	Yellow Catfruit	노랑 개다래 열매
